U.S. Midgrade All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPMM_PTE_NUS_DPG.M
11:45:41 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMM_PTE_NUS_DPG.M Dollars per Gallon
Apr 2010,2.963
Mar 2010,2.892
Feb 2010,2.77
Jan 2010,2.837
Dec 2009,2.734
Nov 2009,2.774
Oct 2009,2.675
Sep 2009,2.682
Aug 2009,2.739
Jul 2009,2.652
Jun 2009,2.743
May 2009,2.38
Apr 2009,2.171
Mar 2009,2.078
Feb 2009,2.042
Jan 2009,1.904
Dec 2008,1.817
Nov 2008,2.287
Oct 2008,3.192
Sep 2008,3.823
Aug 2008,3.902
Jul 2008,4.181
Jun 2008,4.169
May 2008,3.874
Apr 2008,3.571
Mar 2008,3.358
Feb 2008,3.141
Jan 2008,3.16
Dec 2007,3.136
Nov 2007,3.188
Oct 2007,2.918
Sep 2007,2.903
Aug 2007,2.892
Jul 2007,3.067
Jun 2007,3.161
May 2007,3.241
Apr 2007,2.953
Mar 2007,2.67
Feb 2007,2.385
Jan 2007,2.354
Dec 2006,2.417
Nov 2006,2.336
Oct 2006,2.355
Sep 2006,2.674
Aug 2006,3.056
Jul 2006,3.081
Jun 2006,2.988
May 2006,3.012
Apr 2006,2.84
Mar 2006,2.521
Feb 2006,2.383
Jan 2006,2.413
Dec 2005,2.282
Nov 2005,2.363
Oct 2005,2.827
Sep 2005,3.007
Aug 2005,2.58
Jul 2005,2.385
Jun 2005,2.251
May 2005,2.262
Apr 2005,2.342
Mar 2005,2.174
Feb 2005,2.008
Jan 2005,1.93
Dec 2004,1.947
Nov 2004,2.082
Oct 2004,2.098
Sep 2004,1.967
Aug 2004,1.974
Jul 2004,2.009
Jun 2004,2.069
May 2004,2.075
Apr 2004,1.895
Mar 2004,1.836
Feb 2004,1.744
Jan 2004,1.667
Dec 2003,1.577
Nov 2003,1.608
Oct 2003,1.66
Sep 2003,1.777
Aug 2003,1.714
Jul 2003,1.609
Jun 2003,1.586
May 2003,1.595
Apr 2003,1.694
Mar 2003,1.792
Feb 2003,1.709
Jan 2003,1.555
Dec 2002,1.484
Nov 2002,1.513
Oct 2002,1.537
Sep 2002,1.494
Aug 2002,1.491
Jul 2002,1.492
Jun 2002,1.478
May 2002,1.49
Apr 2002,1.494
Mar 2002,1.343
Feb 2002,1.208
Jan 2002,1.199
Dec 2001,1.179
Nov 2001,1.265
Oct 2001,1.409
Sep 2001,1.6
Aug 2001,1.51
Jul 2001,1.529
Jun 2001,1.712
May 2001,1.785
Apr 2001,1.646
Mar 2001,1.506
Feb 2001,1.544
Jan 2001,1.541
Dec 2000,1.537
Nov 2000,1.611
Oct 2000,1.624
Sep 2000,1.64
Aug 2000,1.563
Jul 2000,1.644
Jun 2000,1.709
May 2000,1.581
Apr 2000,1.564
Mar 2000,1.611
Feb 2000,1.468
Jan 2000,1.385
Dec 1999,1.37
Nov 1999,1.35
Oct 1999,1.343
Sep 1999,1.352
Aug 1999,1.317
Jul 1999,1.253
Jun 1999,1.211
May 1999,1.229
Apr 1999,1.23
Mar 1999,1.081
Feb 1999,1.02
Jan 1999,1.038
Dec 1998,1.046
Nov 1998,1.093
Oct 1998,1.113
Sep 1998,1.103
Aug 1998,1.119
Jul 1998,1.146
Jun 1998,1.155
May 1998,1.152
Apr 1998,1.12
Mar 1998,1.109
Feb 1998,1.138
Jan 1998,1.172
Dec 1997,1.216
Nov 1997,1.254
Oct 1997,1.281
Sep 1997,1.314
Aug 1997,1.307
Jul 1997,1.262
Jun 1997,1.282
May 1997,1.284
Apr 1997,1.284
Mar 1997,1.293
Feb 1997,1.318
Jan 1997,1.326
Dec 1996,1.326
Nov 1996,1.321
Oct 1996,1.29
Sep 1996,1.286
Aug 1996,1.29
Jul 1996,1.311
Jun 1996,1.338
May 1996,1.363
Apr 1996,1.316
Mar 1996,1.225
Feb 1996,1.179
Jan 1996,1.179
Dec 1995,1.161
Nov 1995,1.151
Oct 1995,1.175
Sep 1995,1.2
Aug 1995,1.213
Jul 1995,1.245
Jun 1995,1.283
May 1995,1.268
Apr 1995,1.199
Mar 1995,1.161
Feb 1995,1.165
Jan 1995,1.174
Dec 1994,1.184
Nov 1994,
